task,task_label,method,method_label,round_index,top_k,seed_count,cumulative_budget_mean,cumulative_budget_std,mean_top_k_score_mean,mean_top_k_score_std,best_so_far_y_mean,best_so_far_y_std,simple_regret_mean,simple_regret_std
branin,Branin,sf_gfn,SF-GFN,8,50,1,240.0,0.0,-1.815385130797342,0.0,-0.4915688372054525,0.0,0.09368183720545253,0.0
branin,Branin,sf_gfn,SF-GFN,9,50,1,270.0,0.0,-1.6482536631390403,0.0,-0.4915688372054525,0.0,0.09368183720545253,0.0
branin,Branin,sf_gfn,SF-GFN,10,50,1,300.0,0.0,-1.4197100884287972,0.0,-0.4915688372054525,0.0,0.09368183720545253,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,1,50,1,0.30000000000001137,0.0,-15.765607890436863,0.0,-0.46157177744069244,0.0,0.06368477744069245,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,2,50,1,0.6000000000000227,0.0,-14.268074598310001,0.0,-0.4595051011455684,0.0,0.06161810114556843,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,3,50,1,0.9000000000000341,0.0,-8.581154405569217,0.0,-0.4595051011455684,0.0,0.06161810114556843,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,4,50,1,1.2000000000000455,0.0,-6.58858568842919,0.0,-0.4595051011455684,0.0,0.06161810114556843,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,5,50,1,1.5000000000000568,0.0,-4.668198815035311,0.0,-0.4595051011455684,0.0,0.06161810114556843,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,6,50,1,1.8000000000000682,0.0,-4.112156082327312,0.0,-0.4595051011455684,0.0,0.06161810114556843,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,7,50,1,2.1000000000000796,0.0,-3.253529949146832,0.0,-0.4595051011455684,0.0,0.06161810114556843,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,8,50,1,2.400000000000091,0.0,-2.9434086110114452,0.0,-0.4595051011455684,0.0,0.06161810114556843,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,9,50,1,2.7000000000001023,0.0,-2.4026182856906844,0.0,-0.4595051011455684,0.0,0.06161810114556843,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,10,50,1,3.0000000000001137,0.0,-2.0705797602844545,0.0,-0.4595051011455684,0.0,0.06161810114556843,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,11,50,1,3.300000000000125,0.0,-1.7332133156278693,0.0,-0.4595051011455684,0.0,0.06161810114556843,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,12,50,1,3.6000000000001364,0.0,-1.70146844261876,0.0,-0.4595051011455684,0.0,0.06161810114556843,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,13,50,1,3.900000000000148,0.0,-1.652879697999153,0.0,-0.4595051011455684,0.0,0.06161810114556843,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,14,50,1,4.200000000000159,0.0,-1.4982080641535487,0.0,-0.4595051011455684,0.0,0.06161810114556843,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,15,50,1,4.5000000000001705,0.0,-1.3739135211275706,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,16,50,1,4.800000000000182,0.0,-1.310414318255292,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,17,50,1,5.100000000000193,0.0,-1.2550941969367788,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,18,50,1,5.400000000000205,0.0,-1.2279513258936314,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,19,50,1,5.700000000000216,0.0,-1.1819062687739557,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,20,50,1,6.000000000000227,0.0,-1.1543809037347967,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,21,50,1,6.300000000000239,0.0,-1.121305444219046,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,22,50,1,6.60000000000025,0.0,-1.075166915095049,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,23,50,1,6.9000000000002615,0.0,-1.0040921389918918,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,24,50,1,7.200000000000273,0.0,-0.9418718888242397,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,25,50,1,7.500000000000284,0.0,-0.9164802754098473,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,26,50,1,7.800000000000296,0.0,-0.8983693538170473,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,27,50,1,8.100000000000307,0.0,-0.8696550084875214,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,28,50,1,8.400000000000318,0.0,-0.8387884231304824,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,29,50,1,8.70000000000033,0.0,-0.8387884231304824,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,30,50,1,9.000000000000341,0.0,-0.8157144263901861,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,31,50,1,9.300000000000352,0.0,-0.7971916052780997,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,32,50,1,9.600000000000364,0.0,-0.7542938004667028,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,33,50,1,9.900000000000375,0.0,-0.7429698290911676,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,34,50,1,10.200000000000387,0.0,-0.7325482981856695,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,35,50,1,10.500000000000398,0.0,-0.7278119603741942,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,36,50,1,10.80000000000041,0.0,-0.7016141472594353,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,37,50,1,11.10000000000042,0.0,-0.6909002362040139,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,38,50,1,11.400000000000432,0.0,-0.6806166808381987,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,39,50,1,11.700000000000443,0.0,-0.6806166808381987,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,40,50,1,12.000000000000455,0.0,-0.6739166043308722,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,41,50,1,12.300000000000466,0.0,-0.6685033274850126,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,42,50,1,12.600000000000477,0.0,-0.6574934304735,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,43,50,1,12.900000000000489,0.0,-0.6308071009337783,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,44,50,1,13.2000000000005,0.0,-0.6308071009337783,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,45,50,1,13.500000000000512,0.0,-0.6162398863913162,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,46,50,1,13.800000000000523,0.0,-0.6162398863913162,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,47,50,1,14.100000000000534,0.0,-0.6162398863913162,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,48,50,1,14.400000000000546,0.0,-0.6162398863913162,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,49,50,1,14.700000000000557,0.0,-0.6162398863913162,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,50,50,1,15.000000000000568,0.0,-0.6162398863913162,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,51,50,1,15.30000000000058,0.0,-0.6162398863913162,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,52,50,1,15.600000000000591,0.0,-0.6086289200719811,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,53,50,1,15.900000000000603,0.0,-0.6086289200719811,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,54,50,1,16.200000000000614,0.0,-0.601017953752646,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,55,50,1,16.500000000000625,0.0,-0.5956825582068442,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,56,50,1,16.800000000000637,0.0,-0.5945916244322053,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
branin,Branin,sf_gfn_low_fid,SF-GFN-LOW,57,50,1,17.100000000000648,0.0,-0.5862651644759884,0.0,-0.41069214245575836,0.0,0.012805142455758367,0.0
