x1,x2,x3,x4,x5,x6,y,fidelity
0.5,0.6,0.9,0.2,0.5,0.2,0.30801164441096573,2
0.5,0.7,0.0,0.1,0.3,0.9,0.3020467219771164,1
0.7,0.3,0.8,0.2,0.4,0.3,0.2892642406247871,2
0.5,0.4,0.5,0.5,0.6,0.3,0.28262733083473446,1
0.3,0.2,0.3,0.4,0.1,0.2,0.27310210107557414,2
0.4,0.8,0.5,0.1,0.6,0.2,0.2664866555908542,1
0.2,0.4,0.9,0.0,0.6,0.9,0.26484687214793484,2
0.7,0.7,0.1,0.3,0.2,0.0,0.26061202862918886,2
0.5,0.7,0.0,0.1,0.4,0.9,0.25898396710726884,2
0.3,0.6,0.7,0.2,0.0,0.3,0.25011484415675983,1
0.9,0.3,0.8,0.5,0.4,0.5,0.24454023727210886,3
0.0,0.0,0.4,0.2,0.1,0.2,0.24247890279725484,2
0.9,0.0,0.3,0.5,0.5,0.7,0.2436672858352894,1
0.3,0.5,0.7,0.2,0.7,0.1,0.23928374038068442,1
0.6,0.5,0.2,0.5,0.0,0.3,0.24033346264094665,1
0.9,0.0,0.6,0.0,0.4,0.8,0.23963409675248443,1
0.1,0.7,0.5,0.3,0.9,0.3,0.2317450588565435,1
0.7,0.3,0.9,0.9,0.5,0.9,0.234266106653378,1
0.5,0.6,0.6,0.7,0.4,0.7,0.23220117467639736,1
0.9,0.8,0.9,0.5,0.2,0.9,0.23147099295801374,1
0.1,0.5,0.6,0.5,0.8,0.8,0.21890449928805622,1
0.5,0.7,0.6,0.0,0.1,0.6,0.21851982060663866,1
0.5,0.9,0.7,0.1,0.1,0.2,0.22029739201638446,3
0.4,0.7,0.6,0.7,0.3,0.6,0.21469927039651798,1
0.3,0.7,0.3,0.1,0.0,0.1,0.21539947713870178,1
0.2,0.8,0.1,0.5,0.8,0.4,0.21389777446622854,1
0.1,0.9,0.5,0.1,0.4,0.9,0.21183807202322386,2
0.8,0.8,0.9,0.6,0.4,0.1,0.2024143806307242,2
0.7,0.3,0.5,0.3,0.6,0.4,0.2005224089096651,1
0.4,0.7,0.2,0.2,0.6,0.5,0.19959223263171533,2
0.9,0.4,0.0,0.2,0.5,0.5,0.19971991004369422,1
0.1,0.5,0.6,0.6,0.8,0.7,0.18992911987304686,1
0.5,0.5,0.9,0.4,0.6,0.5,0.19848677356417915,1
0.2,0.5,0.5,0.8,0.2,0.7,0.18930534193828077,1
0.3,0.3,0.9,0.2,0.5,0.2,0.19047160707622507,2
0.3,0.0,0.8,0.8,0.1,0.8,0.18907669231234728,3
0.4,0.3,0.2,0.3,0.1,0.1,0.18761449098276553,1
0.6,0.1,0.6,0.6,0.6,0.6,0.17972246663867913,1
0.4,0.3,0.4,0.4,0.8,0.4,0.17126703047008376,1
0.0,0.8,0.8,0.5,0.3,0.3,0.16872390205516374,1
0.2,0.7,0.2,0.9,0.2,0.3,0.16287968931805477,1
0.8,0.8,0.4,0.5,0.3,0.6,0.16157964146906492,3
0.1,0.6,0.8,0.8,0.3,0.2,0.16131214565382815,1
0.1,0.6,0.8,0.8,0.3,0.2,0.16131214565382815,1
0.2,0.5,0.3,0.1,0.7,0.3,0.1572211604728706,2
0.7,0.8,0.4,0.4,0.1,0.7,0.15515213151249732,1
0.3,0.5,0.2,0.4,0.7,0.6,0.15058209595239708,1
0.1,0.5,0.0,0.3,0.6,0.3,0.1515238808495935,1
0.5,0.4,0.4,0.9,0.0,0.0,0.14278955860267833,2
0.9,0.5,0.0,0.6,0.3,0.8,0.1355719483130339,1
0.2,0.1,0.0,0.1,0.6,0.3,0.13448000060995996,2
0.1,0.6,0.5,0.8,0.4,0.3,0.1293880613878834,1
0.0,0.8,0.4,0.6,0.5,0.8,0.12695501272360651,2
0.5,0.0,0.3,0.3,0.7,0.9,0.12572804585782085,1
0.3,0.2,0.1,0.1,0.2,0.1,0.12685654854280295,2
0.4,0.3,0.0,0.3,0.5,0.0,0.12383359362897095,1
0.3,0.3,0.9,0.4,0.9,0.0,0.12272856941434347,2
0.7,0.7,0.5,0.7,0.2,0.4,0.12159134737805238,1
0.0,0.4,0.7,0.7,0.7,0.6,0.1156100293690025,1
0.3,0.6,0.1,0.0,0.2,0.2,0.11916289698932246,1
0.4,0.5,0.3,0.3,0.7,0.9,0.11653700300416828,1
0.2,0.1,0.3,0.4,0.1,0.1,0.11784871296080662,1
0.4,0.0,0.8,0.3,0.9,0.5,0.11170583181514816,1
0.9,0.2,0.8,0.6,0.6,0.9,0.11723979340228412,2
0.1,0.5,0.8,0.2,0.9,0.9,0.11039463728117409,2
0.3,0.3,0.7,0.8,0.5,0.0,0.1069557331340717,2
0.7,0.5,0.5,0.8,0.0,0.8,0.10255607701352247,1
0.7,0.4,0.4,0.2,0.2,0.1,0.10164759234419188,1
0.0,0.2,0.7,0.4,0.0,0.2,0.09961179703363449,1
0.2,0.2,0.1,0.7,0.0,0.7,0.10110915646170186,2
0.5,0.6,0.4,0.0,0.8,0.5,0.09517121398376549,1
0.5,0.9,0.3,0.0,0.5,0.0,0.098992634839619,2
0.2,0.3,0.9,0.7,0.5,0.3,0.09823819891937641,3
0.2,0.0,0.2,0.2,0.9,0.6,0.09364336033977347,3
0.6,0.0,0.2,0.3,0.7,0.9,0.0847584450192674,2
0.0,0.7,0.4,0.6,0.0,0.5,0.08255909538736078,2
0.7,0.9,0.4,0.2,0.0,0.3,0.08221142171394219,2
0.8,0.5,0.6,0.6,0.4,0.1,0.08177293094183528,1
0.6,0.4,0.2,0.2,0.1,0.0,0.0817210613500692,1
0.4,0.9,0.2,0.0,0.8,0.2,0.07984108201651476,2
0.3,0.3,0.8,0.8,0.8,0.2,0.07846097296930163,1
0.2,0.6,0.0,0.2,0.7,0.7,0.07798428230741898,2
0.7,0.5,0.7,0.9,0.4,0.0,0.07611338997139024,1
0.6,0.7,0.4,0.0,0.0,0.7,0.07522837812823047,2
0.7,0.8,0.9,0.8,0.2,0.4,0.07477591786399482,1
0.1,0.9,0.3,0.1,0.0,0.7,0.07251546137127213,1
0.2,0.9,0.8,0.0,0.8,0.6,0.07129354361425637,2
0.6,0.9,0.4,0.1,0.5,0.9,0.07078692442532399,2
0.4,0.3,0.6,0.9,0.8,0.0,0.06978848451736706,1
0.0,0.4,0.5,0.8,0.1,0.4,0.06640511981601353,1
0.1,0.5,0.2,0.9,0.5,0.1,0.06688424378199886,1
0.4,0.9,0.0,0.3,0.0,0.7,0.06539103739098656,2
0.7,0.0,0.1,0.6,0.6,0.4,0.06445739876736992,1
0.8,0.5,0.4,0.7,0.4,0.1,0.06432722341757748,1
0.1,0.2,0.9,0.5,0.8,0.8,0.06093996815822318,1
0.9,0.8,0.6,0.3,0.0,0.7,0.06089291196567779,2
0.4,0.1,0.4,0.5,0.8,0.2,0.05830860422269813,1
0.9,0.6,0.3,0.2,0.2,0.2,0.05668134708507852,2
0.7,0.1,0.5,0.2,0.0,0.2,0.05453546458555251,1
0.0,0.4,0.2,0.7,0.5,0.2,0.054311050282156326,1
0.3,0.2,0.6,0.9,0.1,0.5,0.052098148555284426,2
0.0,0.6,0.3,0.6,0.9,0.5,0.0483642195261554,2
0.6,0.3,0.3,0.8,0.1,0.3,0.04846361871970751,1
0.1,0.9,0.3,0.3,0.9,0.7,0.044183207390402456,2
0.0,0.8,0.7,0.7,0.0,0.4,0.04431779717982229,1
0.3,0.1,0.0,0.1,0.4,0.0,0.04374286041395431,2
0.4,0.4,0.0,0.9,0.3,0.7,0.042292017374687026,3
0.0,0.3,0.0,0.3,0.6,0.1,0.039274317924595854,1
0.7,0.8,0.0,0.7,0.4,0.8,0.03864525641139041,1
0.0,0.6,0.8,0.8,0.6,0.3,0.03752376137215469,1
0.9,0.7,0.7,0.5,0.1,0.2,0.03710443443266721,2
0.0,0.2,0.4,0.4,0.6,0.0,0.035680715400722054,1
0.7,0.3,0.4,0.7,0.0,0.3,0.035003617025411174,2
0.5,0.1,0.7,0.8,0.6,0.4,0.03406403727884458,1
0.5,0.3,0.1,0.8,0.0,0.4,0.03424049355949469,1
0.9,0.9,0.7,0.3,0.2,0.3,0.03418634060861294,2
0.1,0.3,0.3,0.8,0.9,0.5,0.03331650637987911,2
0.5,0.1,0.3,0.7,0.1,0.1,0.03393778000830006,1
0.6,0.3,0.2,0.9,0.8,0.1,0.033959417960667766,2
0.5,0.5,0.1,0.0,0.0,0.0,0.03356765226839825,1
0.9,0.8,0.3,0.6,0.1,0.7,0.03319308728953601,2
0.1,0.1,0.0,0.3,0.8,0.8,0.033008055512445136,2
0.8,0.1,0.3,0.8,0.1,0.5,0.03302414058671684,1
0.3,0.2,0.5,0.9,0.7,0.3,0.031658532494629535,2
0.8,0.3,0.0,0.4,0.4,0.0,0.029087366409535725,1
0.3,0.2,0.4,0.9,0.7,0.4,0.028488072603912763,2
0.2,0.1,0.0,0.1,0.0,0.1,0.028386294386250066,1
0.6,0.5,0.3,0.0,0.0,0.1,0.02797174666402249,1
0.1,0.0,0.7,0.8,0.6,0.2,0.025838408225039786,1
0.5,0.6,0.0,0.9,0.7,0.5,0.024793209549763124,1
0.8,0.2,0.8,0.4,0.3,0.0,0.02474732684817293,1
0.5,0.5,0.1,0.2,0.8,0.7,0.024309266721536396,1
0.3,0.1,0.0,0.6,0.6,0.0,0.024065186988542264,1
0.7,0.8,0.7,0.5,0.7,0.7,0.02026380197499901,1
0.0,0.3,0.8,0.7,0.7,0.1,0.01952925594354834,1
0.2,0.0,0.7,0.5,0.9,0.0,0.01861276352643717,1
0.3,0.6,0.0,0.8,0.0,0.7,0.019148320487493292,2
0.4,0.3,0.3,0.8,0.8,0.7,0.017848881436066232,1
0.9,0.6,0.2,0.1,0.7,0.7,0.01823922325916385,1
0.5,0.0,0.5,0.8,0.9,0.8,0.017183790694077543,1
0.8,0.2,0.1,0.3,0.5,0.0,0.017905621770753704,1
0.7,0.3,0.0,0.5,0.9,0.3,0.01638351605795178,1
0.8,0.0,0.2,0.6,0.5,0.1,0.01625935763988565,1
0.3,0.2,0.0,0.8,0.8,0.3,0.014588751432810614,1
0.0,0.8,0.1,0.2,0.8,0.5,0.01393691671062293,2
0.9,0.8,0.7,0.8,0.2,0.3,0.013951997051179152,1
0.7,0.2,0.3,0.1,0.9,0.5,0.013194617243965333,1
0.9,0.1,0.5,0.9,0.4,0.5,0.013540764664641686,1
0.8,0.3,0.8,0.5,0.9,0.0,0.013056646939794962,1
0.7,0.2,0.3,0.9,0.5,0.4,0.01235434936652676,2
0.0,0.3,0.6,0.9,0.5,0.1,0.011997842192291379,1
0.6,0.0,0.3,0.8,0.4,0.1,0.01125924233602608,2
0.4,0.4,0.0,0.0,0.8,0.4,0.011081550530953223,2
0.8,0.0,0.4,0.5,0.7,0.2,0.009568797689904268,1
0.8,0.1,0.4,0.2,0.9,0.7,0.008134968820347558,1
0.8,0.5,0.5,0.1,0.9,0.7,0.007967514477663902,1
0.9,0.4,0.1,0.2,0.7,0.2,0.007788981380389198,1
0.8,0.5,0.7,0.1,0.8,0.2,0.00764220292121503,2
0.9,0.6,0.2,0.9,0.3,0.5,0.007536567476413187,2
0.6,0.5,0.3,0.7,0.8,0.8,0.006776211236407837,2
0.8,0.0,0.1,0.1,0.8,0.9,0.006813372403090508,2
0.7,0.1,0.8,0.4,0.9,0.3,0.006308585219583971,1
0.8,0.8,0.1,0.6,0.7,0.7,0.0065100662317086515,1
0.2,0.4,0.0,0.0,0.9,0.3,0.005880572517282222,2
0.8,0.3,0.8,0.8,0.9,0.9,0.005539040490185084,2
0.3,0.3,0.0,0.0,0.9,0.4,0.004858695207044253,1
0.8,0.7,0.0,0.8,0.6,0.8,0.004570332530031497,1
0.9,0.9,0.7,0.0,0.4,0.1,0.004308102129514512,1
0.1,0.1,0.1,0.7,0.9,0.0,0.004090727798465522,1
0.3,0.0,0.0,0.1,0.9,0.9,0.003924858917612995,1
0.8,0.4,0.7,0.8,0.9,0.4,0.0037995076177907653,1
0.9,0.9,0.6,0.6,0.7,0.8,0.0037886874486135584,1
0.7,0.1,0.1,0.1,0.9,0.7,0.003273682168319615,1
0.8,0.0,0.7,0.5,0.9,0.9,0.0031305799050800323,2
0.9,0.9,0.3,0.9,0.3,0.7,0.002756465316861472,1
0.9,0.6,0.5,0.7,0.8,0.8,0.0025652231142503255,1
0.8,0.5,0.9,0.0,0.9,0.6,0.0021980652292953335,2
0.8,0.1,0.7,0.8,0.5,0.0,0.0020435415042637673,2
0.8,0.1,0.5,0.9,0.8,0.9,0.001717574403662105,1
0.3,0.7,0.0,0.1,0.9,0.9,0.0016153545151959222,2
0.9,0.9,0.2,0.0,0.9,0.1,0.0016029394731460417,1
0.9,0.1,0.4,0.6,0.8,0.2,0.0012065760635302182,2
0.8,0.5,0.7,0.9,0.9,0.6,0.0011667766196875567,1
0.6,0.9,0.2,0.4,0.9,0.9,0.0010548604953575485,1
0.8,0.0,0.5,0.2,0.8,0.0,0.0010621288805743186,2
0.9,0.2,0.9,0.4,0.9,0.1,0.0008887717015103164,2
